"Qty";"Value";"Device";"Package";"Parts";"Description";"ALLIED_NUMBER";"ALLIED_PRICE/STOCK";"ARROW_PART_NUMBER";"ARROW_PRICE/STOCK";"AVAILABILITY";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";"RS_PART_NUMBER";"RS_PRICE/STOCK";"SPICEPREFIX";
"1";"";"C-EUC0805";"C0805";"C2";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"88";"";"";"";"C";
"2";"";"LEDCHIP-LED0805";"CHIP-LED0805";"3V3, 12V";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"68";"";"";"";"";
"4";"";"SOLDERJUMPERREFLOW_NOPASTE";"SOLDERJUMPER_REFLOW_NOPASTE";"SJ5, SJ6, SJ7, SJ8";"SMD Solder JUMPER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"0.1";"R-EU_R2512";"R2512";"R15";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"R";
"3";"0.1uF";"C-EUC0805";"C0805";"C1, C3, C7";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"88";"";"";"";"C";
"4";"0805L075";"0805L075";"0805L";"F1, F2, F3, F5";"Polyfuse Resettable PTC";"";"";"";"";"";"";"";"";"";"Littelfuse";"";"0805L075";"1832105RL";"18M4777";"";"";"";"";"";"";
"1";"100K";"R-EU_R0805";"R0805";"R7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"R";
"1";"100nF";"C-EUC0805";"C0805";"C15";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"88";"";"";"";"C";
"3";"10K";"R-EU_R0805";"R0805";"R10, R13, R14";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"R";
"1";"10nF";"C-EUC0805";"C0805";"C10";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"88";"";"";"";"C";
"1";"10uF";"C-EUC0805";"C0805";"C6";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"88";"";"";"";"C";
"1";"10uF";"CPOL-EUB";"PANASONIC_B";"C5";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";"C";
"1";"10uH";"SRR1280";"SRR1280";"L2";"POWER INDUCTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"120";"R-EU_R0805";"R0805";"R3, R4";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"R";
"1";"150K";"R-EU_R0805";"R0805";"R20";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"R";
"1";"17k3";"R-EU_R0805";"R0805";"R19";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"R";
"2";"1K";"R-EU_R0805";"R0805";"R6, R11";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"R";
"2";"200K";"R-EU_R0805";"R0805";"R21, R22";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"R";
"1";"220";"R-EU_R0805";"R0805";"R5";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"R";
"1";"22uF";"C-EUC0805";"C0805";"C9";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"88";"";"";"";"C";
"1";"22uF";"C-EUC1210";"C1210";"C16";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"C";
"1";"26.1K";"R-EU_R0805";"R0805";"R9";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"R";
"1";"3.9nF";"C-EUC0805";"C0805";"C8";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"88";"";"";"";"C";
"1";"39pF";"C-EUC0805";"C0805";"C14";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"88";"";"";"";"C";
"2";"4,7k";"R-EU_R0805";"R0805";"R1, R2";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"R";
"1";"500";"R-EU_R0805";"R0805";"R12";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"R";
"2";"53398-06";"53398-06";"53398-06";"X1, X5";"CONNECTOR";"";"";"";"";"";"";"";"";"";"MOLEX";"";"";"1125368";"unknown";"";"0";"";"";"";"";
"1";"6.8K";"R-EU_R0805";"R0805";"R8";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"R";
"1";"6.8uH";"SRR1280";"SRR1280";"L3";"POWER INDUCTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"68uF";"C-EUC1210";"C1210";"C17";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"C";
