"Qty";"Value";"Device";"Package";"Parts";"Description";"ALLIED_NUMBER";"ALLIED_PRICE/STOCK";"ARROW_PART_NUMBER";"ARROW_PRICE/STOCK";"AVAILABILITY";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";"RS_PART_NUMBER";"RS_PRICE/STOCK";"SPICEPREFIX";
"1";"";"C-EUC0805";"C0805";"C2";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"88";"";"";"";"C";
"3";"";"LEDCHIP-LED0805";"CHIP-LED0805";"3V3, 5V, 12V";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"68";"";"";"";"";
"4";"";"SOLDERJUMPERREFLOW_NOPASTE";"SOLDERJUMPER_REFLOW_NOPASTE";"SJ5, SJ6, SJ7, SJ8";"SMD Solder JUMPER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"0.1";"R-EU_R2512";"R2512";"R18";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"R";
"2";"0.1uF";"C-EUC0805";"C0805";"C7, C12";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"88";"";"";"";"C";
"7";"0805L075";"0805L075";"0805L";"F1, F2, F3, F4, F5, F6, F7";"Polyfuse Resettable PTC";"";"";"";"";"";"";"";"";"";"Littelfuse";"";"0805L075";"1832105RL";"18M4777";"";"";"";"";"";"";
"2";"100K";"R-EU_R0805";"R0805";"R9, R13";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"R";
"1";"100nF";"C-EUC0805";"C0805";"C17";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"88";"";"";"";"C";
"4";"10K";"R-EU_R0805";"R0805";"R8, R12, R16, R17";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"R";
"2";"10nF";"C-EUC0805";"C0805";"C10, C15";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"88";"";"";"";"C";
"2";"10uF";"C-EUC0805";"C0805";"C6, C11";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"88";"";"";"";"C";
"2";"10uH";"SRR1280";"SRR1280";"L2, L3";"POWER INDUCTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"120";"R-EU_R0805";"R0805";"R3, R4";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"R";
"1";"120K";"R-EU_R0805";"R0805";"R15";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"R";
"1";"150K";"R-EU_R0805";"R0805";"R21";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"R";
"1";"17K3";"R-EU_R0805";"R0805";"R20";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"R";
"2";"200K";"R-EU_R0805";"R0805";"R22, R23";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"R";
"1";"220";"R-EU_R0805";"R0805";"R5";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"R";
"2";"22uF";"C-EUC0805";"C0805";"C9, C14";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"88";"";"";"";"C";
"1";"22uF";"C-EUC1210";"C1210";"C18";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"C";
"1";"26.1K";"R-EU_R0805";"R0805";"R11";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"R";
"2";"3.9nF";"C-EUC0805";"C0805";"C8, C13";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"88";"";"";"";"C";
"1";"330";"R-EU_R0805";"R0805";"R6";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"R";
"1";"39pF";"C-EUC0805";"C0805";"C16";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"88";"";"";"";"C";
"2";"4,7k";"R-EU_R0805";"R0805";"R1, R2";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"R";
"2";"53261-04";"53261-04";"53261-04";"X11, X12";"CONNECTOR";"";"";"";"";"";"";"";"";"";"MOLEX";"";"";"1125374";"unknown";"";"0";"";"";"";"";
"1";"53261-05";"53261-05";"53261-05";"X13";"CONNECTOR";"";"";"";"";"";"";"";"";"";"MOLEX";"";"";"1433644";"unknown";"";"0";"";"";"";"";
"4";"53398-06";"53398-06";"53398-06";"X1, X2, X5, X9";"CONNECTOR";"";"";"";"";"";"";"";"";"";"MOLEX";"";"";"1125368";"unknown";"";"0";"";"";"";"";
"2";"6.8K";"R-EU_R0805";"R0805";"R10, R14";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"R";
"1";"6.8uH";"SRR1280";"SRR1280";"L4";"POWER INDUCTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"600";"R-EU_R0805";"R0805";"R7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"R";
"1";"68uF";"C-EUC1210";"C1210";"C19";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"C";
"2";"B130-13-F";"B130-13-F";"SMA";"D2, D3";"";"";"";"";"";"Unavailable";" Diode Schottky 30V 1A Surface Mount SMA ";"";"";"";"Multicomp";"B130-13-F";"";"";"";"DO-214 Multicomp";"";"None";"";"";"";
"1";"INA219BIDCNT";"INA219";"SOT23-8";"INA2";"INA219 - I2C Current/Power Monitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"JST-XH-03-PIN-ROUND-PAD";"JST-XH-03-PIN-ROUND-PAD";"JST-XH-03-PACKAGE-ROUND-PAD";"X3, X4, X6, X7";"JST XH Connector 2 Pin";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"JST-XH-05-PIN-ROUND-PAD";"JST-XH-05-PIN-ROUND-PAD";"JST-XH-05-PACKAGE-ROUND-PAD";"X15";"JST XH Connector 2 Pin";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
